Ido,Restaurante,Prato,Descrição,Nota (1 a 5),Endereço,Bairro,Como chegar,Link,Telefone,Horários
FALSE,400 Steak Club,Pãozinho de Cupim,"Um delicioso pão de alho crocante, recheado com cupim e uma receita pra lá de especial.",,"Rua Jambeiro, 400 – Loja | Vila Valqueire, Rio de Janeiro – RJ",Vila Valqueire,"https://www.google.com/maps/search/?api=1&query=Rua%20Jambeiro,%20400%20–%20Loja%20|%20Vila%20Valqueire,%20Rio%20de%20Janeiro%20–%20RJ",http://www.comidadibuteco.com.br/400-steak-club/,(21) 3579-1497,"Segundas, das 12h às 24hTerças, das 12h às 24hQuartas, das 12h às 24hQuintas, das 12h às 24hSextas, das 12h às 24hSábados, das 12h às 24hDomingos, das 12h às 24h"
FALSE,Adega Pérola,Tilápia Mediterrânea,Tilápia empanada e molho mediterrâneo – acompanha homus e pão árabe.,,"Siqueira Campos, 138 – A | Copacabana, Rio de Janeiro – RJ",Copacabana,"https://www.google.com/maps/search/?api=1&query=Siqueira%20Campos,%20138%20–%20A%20|%20Copacabana,%20Rio%20de%20Janeiro%20–%20RJ",http://www.comidadibuteco.com.br/adega-perola/,(21) 2255-9425,"Segundas, das 11h à 1hTerças, das 11h à 1hQuartas, das 11h à 1hQuintas, das 11h à 1hSextas, das 11h à 1hSábados, das 11h à 1h"
FALSE,Angurmê,Borogodó de Fubá à Baiana do Cais do Valongo,"Croquetes de fubá com miúdos bovinos, rabada e bacon, acompanhados de geleia de pimenta, molho de mostarda e pasta de agrião.",,"Rua Visconde de Abaeté, 123 | Vila Isabel, Rio de Janeiro – RJ",Vila Isabel,"https://www.google.com/maps/search/?api=1&query=Rua%20Visconde%20de%20Abaeté,%20123%20|%20Vila%20Isabel,%20Rio%20de%20Janeiro%20–%20RJ",http://www.comidadibuteco.com.br/angurme/,(21) 99202-9229,"Quartas, das 12h às 24h Quintas, das 12h às 24h Sextas, das 12h às 24h Sábados, das 12h às 24h Domingos, das 12h às 24h"
FALSE,Areias de Itacoatiara,Mix Mineiro,"2 Bolinhos de carne seca com requeijão e queijo minas, e 2 de linguiça mineira com requeijão e queijo minas. Acompanhados de chips de aipim e pesto de pimenta biquinho.",,"Estrada Francisco da Cruz Nunes, 11500 | Itaipu, Niterói – RJ",Itaipu,"https://www.google.com/maps/search/?api=1&query=Estrada%20Francisco%20da%20Cruz%20Nunes,%2011500%20|%20Itaipu,%20Niterói%20–%20RJ",http://www.comidadibuteco.com.br/areias-de-itacoatiara/,(21) 3628-4427,"Segundas, das 11h à 1hTerças, das 11h à 1hQuartas, das 11h à 1hQuintas, das 11h à 1hSextas, das 11h à 1hSábados, das 11h à 1hDomingos, das 11h à 1h"
FALSE,Armazém São Thiago / Bar do Gomes,Hamburguinho de botequim,"Hamburguinho de batata-doce e recheio de costela bovina, com barriga de porco, molho gorgonzola.",,"Rua Áurea, 26 – Loja | Santa Teresa, Rio de Janeiro – RJ",Santa Teresa,"https://www.google.com/maps/search/?api=1&query=Rua%20Áurea,%2026%20–%20Loja%20|%20Santa%20Teresa,%20Rio%20de%20Janeiro%20–%20RJ",http://www.comidadibuteco.com.br/armazem-sao-thiago-bar-do-gomes/,(21) 2232-0822,"Segundas, das 16h às 24hTerças, das 16h às 24hQuartas, das 16h às 24hQuintas, das 16h às 24hSextas, das 12h às 24hSábados, das 12h às 24hDomingos, das 12h às 23h"
FALSE,Art Chopp,Nosso Porquinho deu Cuscuz!,"Copa lombo defumado em lenha de macieira, desfiado e servido com farofa de cuscuz nordestino.",,"Rua Estrada Macembu, 63 | Taquara, Rio de Janeiro – RJ",Taquara,"https://www.google.com/maps/search/?api=1&query=Rua%20Estrada%20Macembu,%2063%20|%20Taquara,%20Rio%20de%20Janeiro%20–%20RJ",http://www.comidadibuteco.com.br/art-chopp/,(21) 99566-8424,"Terças, das 17h à 0h30Quartas, das 17h à 0h30Quintas, das 17h à 0h30Sextas, das 17h à 0h30Sábados, das 12h à 0h30Domingos, das 12h às 24h"
FALSE,Baixo Araguaia,Entrevero Carioca,"Espeto com deliciosa mistura de carnes e defumados acompanhados de abacaxi, farofa de bacon e vinagrete.",,"Endereço: Rua Araguaia, 1709 | Freguesia de Jacarepaguá, Rio de Janeiro – RJ",Freguesia de Jacarepaguá,"https://www.google.com/maps/search/?api=1&query=Endereço:%20Rua%20Araguaia,%201709%20|%20Freguesia%20de%20Jacarepaguá,%20Rio%20de%20Janeiro%20–%20RJ",http://www.comidadibuteco.com.br/baixo-araguaia/,(21) 3392-3760,"Segundas, das 18h às 24hTerças, das 18h às 24hQuartas, das 18h às 24hQuintas, das 18h às 24hSextas, das 18h às 24hSábados, das 12h às 24hDomingos, das 12h às 22h"
FALSE,Baixo Gago,Amoela,"Moela à milanesa com crispy de couve, acompanhado de tutu levemente apimentado.",,"Rua Gago Coutinho, 51, 51 | Laranjeiras, Rio de Janeiro – RJ",Laranjeiras,"https://www.google.com/maps/search/?api=1&query=Rua%20Gago%20Coutinho,%2051,%2051%20|%20Laranjeiras,%20Rio%20de%20Janeiro%20–%20RJ",http://www.comidadibuteco.com.br/baixo-gago/,(21) 2556-0638,"Segundas, das 11h às 22hTerças, das 11h às 22hQuartas, das 11h às 24hQuintas, das 11h às 24hSextas, das 11h às 24hSábados, das 11h às 24hDomingos, das 11h às 18h"
FALSE,Balaio do Zé,Balainhos Confitados do Zé,"Massa tenra crocante recheada com creme de queijo, filés de pescados confitados com tomatinho e cebola em azeite de ervas e especiarias.",,"Travessa Tamoios, 40 – Loja A | Flamengo, Rio de Janeiro – RJ",Flamengo,"https://www.google.com/maps/search/?api=1&query=Travessa%20Tamoios,%2040%20–%20Loja%20A%20|%20Flamengo,%20Rio%20de%20Janeiro%20–%20RJ",http://www.comidadibuteco.com.br/balaio-do-ze/,(21) 3796-5340,"Segundas, das 11h30 às 24hTerças, das 11h30 às 24hQuartas, das 11h30 às 24hQuintas, das 11h30 às 24hSextas, das 11h30 às 24hSábados, das 11h30 às 24hDomingos, das 11h30 às 24h"
FALSE,Balbino’s – Delícia de Costela,Delícia de Costela,Croquetes de costela servidos com geleia de pimenta da casa e mostarda escura.,,"Praça Do Bandolim, 296 | Curicica, Rio de Janeiro – RJ",Curicica,"https://www.google.com/maps/search/?api=1&query=Praça%20Do%20Bandolim,%20296%20|%20Curicica,%20Rio%20de%20Janeiro%20–%20RJ",http://www.comidadibuteco.com.br/balbino-delicia-de-costela/,(21) 2441-0747,"Quartas, das 11h30 às 18hQuintas, das 11h30 às 20hSextas, das 11h30 às 20hSábados, das 11h30 às 20hDomingos, das 11h30 às 18h"
